Company,Date,Open,High,Low,Close,Volume
1JANATAMF,16/11/2010,3.35,3.44,3.35,3.44,88893
1JANATAMF,17/12/2010,6.6,6.7,6.5,6.6,75537
1JANATAMF,16/01/2011,2.61,2.7,2.61,2.61,540585
1JANATAMF,17/01/2011,5.35,5.62,5.35,5.53,3447154
1JANATAMF,18/01/2011,6.5,6.6,6.5,6.6,511165
1JANATAMF,16/02/2011,2.79,2.79,2.7,2.7,411130
1JANATAMF,18/02/2011,6.3,6.5,6.3,6.4,27267
1JANATAMF,18/03/2011,6.1,6.1,6,6.1,54156
1JANATAMF,16/04/2011,2.79,2.87,2.79,2.79,51019
1JANATAMF,17/04/2011,6.53,6.62,6.44,6.44,656172
1JANATAMF,18/04/2011,6.3,6.3,6.3,6.3,67612
1JANATAMF,16/05/2011,2.87,2.87,2.79,2.79,229488
1JANATAMF,17/05/2011,6.25,6.25,6.16,6.16,295954
1JANATAMF,17/06/2011,6.53,6.53,6.44,6.44,211324
1JANATAMF,18/06/2011,6.1,6.2,6.1,6.2,190193
1JANATAMF,16/07/2011,3.13,3.48,3.05,3.48,2087432
1JANATAMF,17/07/2011,6.71,6.89,6.62,6.62,2251010
1JANATAMF,18/07/2011,6.2,6.4,6.2,6.3,379156
1JANATAMF,16/08/2011,3.39,3.48,3.31,3.48,459387
1JANATAMF,17/09/2011,7,7.1,6.8,7,984178
1JANATAMF,18/09/2011,5.8,6,5.7,5.9,98009
1JANATAMF,17/10/2011,6.7,6.8,6.7,6.7,382681
1JANATAMF,18/10/2011,4.5,4.6,4.5,4.5,33676
1JANATAMF,16/12/2011,4.44,4.53,4.44,4.44,546866
1JANATAMF,17/12/2011,6.6,6.6,6.5,6.5,41203
1JANATAMF,16/01/2012,2.7,2.79,2.61,2.7,490675
1JANATAMF,17/01/2012,5.62,6.07,5.53,5.98,7724745
1JANATAMF,17/02/2012,6.44,6.62,6.35,6.44,433650
1JANATAMF,18/02/2012,6.3,6.4,6.2,6.3,321735
1JANATAMF,17/03/2012,6.07,6.16,5.98,6.07,1548443
1JANATAMF,18/03/2012,6,6.1,6,6,115547
1JANATAMF,16/04/2012,2.79,2.87,2.79,2.79,129494
1JANATAMF,17/04/2012,6.44,6.53,6.35,6.44,827742
1JANATAMF,18/04/2012,6.3,6.3,6.2,6.3,57933
1JANATAMF,16/05/2012,2.87,2.87,2.79,2.79,309985
1JANATAMF,16/06/2012,2.96,3.05,2.96,2.96,37216
1JANATAMF,17/06/2012,6.44,6.62,6.44,6.53,408768
1JANATAMF,18/06/2012,6.1,6.2,6.1,6.2,40328
1JANATAMF,16/07/2012,3.39,3.83,3.39,3.74,2685357
1JANATAMF,17/07/2012,6.71,6.71,6.53,6.62,929616
1JANATAMF,18/07/2012,6.2,6.3,6.2,6.2,52848
1JANATAMF,18/08/2012,6.2,6.2,6.2,6.2,43420
1JANATAMF,17/09/2012,7,7,6.9,6.9,869706
1JANATAMF,18/09/2012,5.9,6,5.9,6,122326
1JANATAMF,17/10/2012,6.8,6.8,6.7,6.7,139684
1JANATAMF,17/11/2012,6.6,6.6,6.5,6.6,205547
1JANATAMF,16/12/2012,4.44,4.44,4.35,4.35,192443
1JANATAMF,17/12/2012,6.5,6.6,6.5,6.5,40982
1JANATAMF,16/01/2013,2.7,2.79,2.61,2.7,233067
1JANATAMF,17/02/2013,6.44,6.44,6.25,6.35,542207
1JANATAMF,18/02/2013,6.3,6.3,6.2,6.3,73653
1JANATAMF,16/03/2013,2.7,2.79,2.7,2.7,208739
1JANATAMF,17/03/2013,6.07,6.35,6.07,6.25,1964215
1JANATAMF,18/03/2013,6,6.1,6,6.1,156630
1JANATAMF,16/04/2013,2.79,2.87,2.79,2.87,155158
1JANATAMF,17/04/2013,6.44,6.53,6.35,6.44,661383
1JANATAMF,18/05/2013,6.3,6.3,6.3,6.3,38506
1JANATAMF,16/06/2013,3.05,3.13,2.96,3.05,477279
1JANATAMF,17/06/2013,6.53,6.53,6.44,6.53,299025
1JANATAMF,16/07/2013,3.57,3.65,3.39,3.57,1050289
1JANATAMF,17/07/2013,6.62,6.62,6.53,6.53,531649
1JANATAMF,17/08/2013,6.62,6.71,6.44,6.53,966547
1JANATAMF,18/08/2013,6.1,6.2,6.1,6.1,227739
1JANATAMF,17/09/2013,6.9,7,6.9,6.9,468118
1JANATAMF,16/10/2013,3.25,3.35,3.25,3.25,80730
1JANATAMF,16/11/2013,3.44,3.44,3.35,3.35,227094
1JANATAMF,17/11/2013,6.6,6.6,6.5,6.5,136713
1JANATAMF,17/12/2013,6.5,6.6,6.5,6.6,184901
1JANATAMF,16/01/2014,2.7,2.79,2.7,2.7,297467
1JANATAMF,18/01/2014,6.5,6.6,6.4,6.5,118897
1JANATAMF,16/02/2014,2.7,2.79,2.7,2.79,38915
1JANATAMF,17/02/2014,6.25,6.53,6.25,6.44,651991
1JANATAMF,18/02/2014,6.3,6.3,6.2,6.2,156457
1JANATAMF,16/03/2014,2.7,2.79,2.7,2.79,68780
1JANATAMF,17/03/2014,6.25,6.44,6.25,6.35,1412667
1JANATAMF,18/03/2014,6,6.1,5.9,5.9,266261
1JANATAMF,17/05/2014,6.16,6.25,6.16,6.16,115444
1JANATAMF,18/05/2014,6.3,6.4,6.3,6.3,208819
1JANATAMF,16/06/2014,3.05,3.05,2.96,3.05,278096
1JANATAMF,17/06/2014,6.53,6.53,6.44,6.44,105949
1JANATAMF,16/07/2014,3.65,3.83,3.65,3.74,1642247
1JANATAMF,16/08/2014,3.48,3.48,3.31,3.31,301594
1JANATAMF,18/08/2014,6.1,6.3,6.1,6.2,94616
1JANATAMF,17/09/2014,6.9,7.1,6.9,7,496348
1JANATAMF,18/10/2014,4.5,4.6,4.5,4.5,128014
1JANATAMF,16/11/2014,3.35,3.44,3.35,3.35,241689
1JANATAMF,17/11/2014,6.5,6.6,6.5,6.5,90210
1JANATAMF,16/12/2014,4.44,4.53,4.35,4.44,135458
1JANATAMF,17/12/2014,6.6,6.6,6.5,6.6,90597
1JANATAMF,17/01/2015,5.98,6.53,5.98,6.53,8272009
1JANATAMF,18/01/2015,6.5,6.5,6.4,6.5,116162
1JANATAMF,16/02/2015,2.79,2.79,2.7,2.79,96029
1JANATAMF,17/02/2015,6.44,6.53,6.25,6.35,709784
1JANATAMF,18/02/2015,6.3,6.4,6.2,6.2,120033
1JANATAMF,16/03/2015,2.7,2.7,2.7,2.7,63653
1JANATAMF,17/03/2015,6.44,6.62,6.35,6.35,2110116
1JANATAMF,18/03/2015,5.9,6.2,5.9,6.2,214085
1JANATAMF,18/04/2015,6.3,6.3,6.1,6.2,285507
1JANATAMF,16/05/2015,2.79,2.87,2.79,2.79,37574
1JANATAMF,17/05/2015,6.16,6.25,6.07,6.07,138670
1JANATAMF,18/05/2015,6.2,6.3,6.2,6.2,253432
1JANATAMF,16/06/2015,2.96,3.13,2.96,3.05,416295
1JANATAMF,17/06/2015,6.44,6.53,6.44,6.53,254839
1JANATAMF,18/07/2015,6.2,6.2,6.1,6.1,101193
1JANATAMF,17/10/2015,6.7,6.8,6.7,6.7,281932
1JANATAMF,18/10/2015,4.5,4.6,4.5,4.5,94848
1JANATAMF,16/11/2015,3.35,3.44,3.35,3.44,108365
1JANATAMF,17/11/2015,6.5,6.6,6.4,6.5,227070
1JANATAMF,16/12/2015,4.44,4.53,4.35,4.53,370143
1JANATAMF,17/01/2016,6.53,6.89,6.35,6.53,11104413
1JANATAMF,18/01/2016,6.4,6.6,6.4,6.6,459910
1JANATAMF,16/02/2016,2.7,2.7,2.7,2.7,23494
1JANATAMF,17/02/2016,6.35,6.44,6.16,6.25,2083040
1JANATAMF,16/03/2016,2.7,2.79,2.7,2.7,522982
1JANATAMF,17/03/2016,6.44,6.44,6.25,6.25,964900
1JANATAMF,17/04/2016,6.44,6.44,6.35,6.35,259969
1JANATAMF,18/04/2016,6.2,6.2,6.1,6.1,117484
1JANATAMF,16/05/2016,2.79,2.87,2.79,2.87,54717
1JANATAMF,17/05/2016,6.07,6.16,6.07,6.07,66091
1JANATAMF,18/05/2016,6.2,6.3,6.2,6.3,98619
1JANATAMF,16/06/2016,3.05,3.13,3.05,3.13,607657
1JANATAMF,16/07/2016,3.74,3.83,3.65,3.83,1664043
1JANATAMF,17/07/2016,6.53,6.71,6.53,6.53,612028
1JANATAMF,18/07/2016,6.1,6.2,6.1,6.2,147601
1JANATAMF,16/08/2016,3.31,3.31,2.79,3.05,2681276
1JANATAMF,17/08/2016,6.53,6.53,6.44,6.53,1072289
1JANATAMF,18/08/2016,6.2,6.3,6.1,6.2,122741
1JANATAMF,18/09/2016,5.6,5.6,5.2,5.3,159544
1JANATAMF,16/10/2016,3.25,3.44,3.25,3.35,394217
1JANATAMF,17/10/2016,6.7,6.7,6.6,6.6,127325
1JANATAMF,18/10/2016,4.5,4.5,4.4,4.4,80680
1JANATAMF,16/11/2016,3.44,3.44,3.35,3.35,415102
1JANATAMF,17/11/2016,6.6,6.6,6.4,6.5,404549
1JANATAMF,16/01/2017,2.79,2.79,2.7,2.79,517822
1JANATAMF,17/01/2017,6.53,7.16,6.44,7.16,12106938
1JANATAMF,18/01/2017,6.5,6.6,6.5,6.6,169479
1JANATAMF,16/02/2017,2.7,2.79,2.7,2.79,29465
1JANATAMF,16/04/2017,2.87,2.87,2.79,2.79,26642
1JANATAMF,17/04/2017,6.35,6.44,6.35,6.44,213524
1JANATAMF,18/04/2017,6.2,6.3,6.1,6.2,1702275
1JANATAMF,16/05/2017,2.79,2.87,2.79,2.79,183661
1JANATAMF,17/05/2017,6.16,6.25,6.16,6.16,489105
1JANATAMF,18/05/2017,6.2,6.3,6.2,6.2,29813
1JANATAMF,16/07/2017,3.74,3.74,3.48,3.57,1659986
1JANATAMF,17/07/2017,6.53,6.62,6.53,6.53,545629
1JANATAMF,18/07/2017,6.1,6.2,6.1,6.1,216387
1JANATAMF,16/08/2017,3.05,3.05,2.96,2.96,348418
1JANATAMF,17/08/2017,6.53,6.53,6.44,6.53,697608
1JANATAMF,17/09/2017,7,7.1,6.9,7,797859
1JANATAMF,18/09/2017,5.2,5.3,5,5.2,104175
1JANATAMF,16/10/2017,3.35,3.44,3.35,3.35,84774
1JANATAMF,17/10/2017,6.6,6.7,6.5,6.6,390733
1JANATAMF,18/10/2017,4.4,4.5,4.4,4.4,41068
1JANATAMF,16/11/2017,3.35,3.44,3.35,3.35,181870
1JANATAMF,17/12/2017,6.5,6.5,6.4,6.4,452125
1JANATAMF,16/01/2018,2.79,2.96,2.7,2.87,838331
1JANATAMF,17/01/2018,7.16,7.53,6.98,7.07,8231292
1JANATAMF,18/01/2018,6.5,6.6,6.5,6.6,307676
1JANATAMF,16/02/2018,2.7,2.79,2.7,2.79,140351
1JANATAMF,18/02/2018,6.2,6.3,6.2,6.2,179085
1JANATAMF,18/03/2018,6.2,6.3,6.1,6.2,92190
1JANATAMF,16/04/2018,2.79,2.87,2.79,2.79,46623
1JANATAMF,17/04/2018,6.35,6.44,6.25,6.35,616212
1JANATAMF,18/04/2018,6.3,6.3,6.2,6.3,460686
1JANATAMF,16/05/2018,2.79,2.96,2.79,2.87,261606
1JANATAMF,17/05/2018,6.16,6.25,6.16,6.25,504253
1JANATAMF,17/06/2018,6.53,6.53,6.35,6.44,328860
1JANATAMF,18/06/2018,6.1,6.2,6.1,6.1,28919
